subdivision,state
Andaman & Nicobar Islands,Andaman And Nicobar Islands
Coastal Andhra Pradesh,Andhra Pradesh
Rayalseema,Andhra Pradesh
Arunachal Pradesh,Arunachal Pradesh
Assam & Meghalaya,Assam
Assam & Meghalaya,Meghalaya
Bihar,Bihar
Haryana Delhi & Chandigarh,Chandigarh
Haryana Delhi & Chandigarh,Delhi
Haryana Delhi & Chandigarh,Haryana
Chhattisgarh,Chhattisgarh
Konkan & Goa,Goa
Gujarat Region,Gujarat
Saurashtra & Kutch,Gujarat
Himachal Pradesh,Himachal Pradesh
Jammu & Kashmir,Jammu And Kashmir
Jharkhand,Jharkhand
Coastal Karnataka,Karnataka
North Interior Karnataka,Karnataka
South Interior Karnataka,Karnataka
Kerala,Kerala
East Madhya Pradesh,Madhya Pradesh
West Madhya Pradesh,Madhya Pradesh
Konkan & Goa,Maharashtra
Madhya Maharashtra,Maharashtra
Matathwada,Maharashtra
Vidarbha,Maharashtra
Naga Mani Mizo Tripura,Manipur
Naga Mani Mizo Tripura,Mizoram
Naga Mani Mizo Tripura,Nagaland
Naga Mani Mizo Tripura,Tripura
Orissa,Odisha
Tamil Nadu,Puducherry
Punjab,Punjab
East Rajasthan,Rajasthan
West Rajasthan,Rajasthan
Sub Himalayan West Bengal & Sikkim,Sikkim
Tamil Nadu,Tamil Nadu
Telangana,Telangana
East Uttar Pradesh,Uttar Pradesh
West Uttar Pradesh,Uttar Pradesh
Uttarakhand,Uttarakhand
Gangetic West Bengal,West Bengal
Sub Himalayan West Bengal & Sikkim,West Bengal
